Dataset,LM_model,LM_output_type,Feature,Classifier,Precision,Recall,F1_score
BLOG obfuscated,BERT large,probs,Bins 0.010,ANN,0.6209150326797386,0.6884057971014492,0.6529209621993126
BLOG obfuscated,BERT large,probs,Bins 0.005,SVM,0.5367647058823529,0.5289855072463768,0.5328467153284672
BLOG obfuscated,BERT large,probs,Bins 0.001,SVM,0.6651785714285714,0.5398550724637681,0.596
BLOG obfuscated,BERT large,probs,VGG19,SVM,0.7860262008733624,0.6545454545454545,0.7142857142857142
BLOG obfuscated,BERT large,probs,Bins 0.010,SVM,0.4892086330935252,0.4927536231884058,0.4909747292418773
BLOG obfuscated,BERT large,probs,Bins 0.005,RFC,0.544973544973545,0.37318840579710144,0.4430107526881721
BLOG obfuscated,BERT large,probs,Bins 0.001,RFC,0.573170731707317,0.34057971014492755,0.4272727272727273
BLOG obfuscated,BERT large,probs,VGG19,RFC,0.7733333333333333,0.6327272727272727,0.696
BLOG obfuscated,BERT large,probs,Bins 0.010,RFC,0.5670103092783505,0.3985507246376812,0.4680851063829787
BLOG obfuscated,BERT large,ranks,Bins 50,GNB,0.3111888111888112,0.644927536231884,0.41981132075471705
BLOG obfuscated,BERT large,ranks,Bins 10,GNB,0.2034682080924856,0.6376811594202898,0.30850131463628394
BLOG obfuscated,BERT large,ranks,VGG19,GNB,0.5833333333333334,0.7127272727272728,0.6415711947626842
BLOG obfuscated,BERT large,ranks,Bins 100,GNB,0.36007827788649704,0.6666666666666666,0.4675984752223635
BLOG obfuscated,BERT large,ranks,Bins 50,KNN,0.4977272727272728,0.7934782608695652,0.611731843575419
BLOG obfuscated,BERT large,ranks,Bins 10,KNN,0.4324853228962818,0.8007246376811594,0.5616264294790343
BLOG obfuscated,BERT large,ranks,VGG19,KNN,0.6666666666666666,0.6618181818181819,0.6642335766423357
BLOG obfuscated,BERT large,ranks,Bins 100,KNN,0.4966292134831461,0.8007246376811594,0.6130374479889044
BLOG obfuscated,BERT large,ranks,Bins 50,ANN,0.6739926739926739,0.6666666666666666,0.6703096539162112
BLOG obfuscated,BERT large,ranks,Bins 10,ANN,0.6413043478260869,0.6413043478260869,0.6413043478260869
BLOG obfuscated,BERT large,ranks,VGG19,ANN,0.7594936708860759,0.6545454545454545,0.703125
BLOG obfuscated,BERT large,ranks,Bins 100,ANN,0.6423611111111112,0.6702898550724637,0.6560283687943262
BLOG obfuscated,BERT large,ranks,Bins 50,SVM,0.6,0.43478260869565216,0.5042016806722689
BLOG obfuscated,BERT large,ranks,Bins 10,SVM,0.4846153846153846,0.4565217391304348,0.4701492537313433
BLOG obfuscated,BERT large,ranks,VGG19,SVM,0.7551867219917012,0.6618181818181819,0.7054263565891473
BLOG obfuscated,BERT large,ranks,Bins 100,SVM,0.7183908045977011,0.4528985507246377,0.5555555555555555
BLOG obfuscated,BERT large,ranks,Bins 50,RFC,0.7329545454545454,0.4673913043478261,0.5707964601769911
BLOG obfuscated,BERT large,ranks,Bins 10,RFC,0.7575757575757576,0.2717391304347826,0.4
BLOG obfuscated,BERT large,ranks,VGG19,RFC,0.7352941176470589,0.6363636363636364,0.6822612085769981
BLOG obfuscated,BERT large,ranks,Bins 100,RFC,0.7894736842105263,0.4891304347826087,0.6040268456375839
BLOG obfuscated,GPT-2 345M,probs,Bins 0.005,GNB,0.483204134366925,0.677536231884058,0.5641025641025642
BLOG obfuscated,GPT-2 345M,probs,Bins 0.001,GNB,0.3970223325062035,0.5797101449275363,0.4712812960235641
BLOG obfuscated,GPT-2 345M,probs,VGG19,GNB,0.3404634581105169,0.6945454545454546,0.4569377990430621
BLOG obfuscated,GPT-2 345M,probs,Bins 0.010,GNB,0.5845272206303725,0.7391304347826086,0.6528
BLOG obfuscated,GPT-2 345M,probs,Bins 0.005,KNN,0.7245283018867924,0.6956521739130435,0.7097966728280961
